Name,Year,Fuel,Kilometers driven,Price
Celerio ZXI ,2018,Petrol,8513,375000
Swift Dzire ZDI (O) ,2017,Diesel,47763,780000
Celerio VXI ,2016,Petrol,66670,430000
Omni MPI STD ,2016,Petrol,77722,285000
S-Cross DDIS 200 ZETA ,2016,Diesel,139875,600000
Ciaz VDI (O) ,2015,Diesel,85477,675000
Alto 800 LXI ,2014,Petrol,62766,280000
Swift VDI ,2013,Diesel,115200,410000
Alto K10 VXI ,2013,Petrol,63863,310000
Swift ZXI ,2011,Petrol,99496,375000
Alto K10 VXI ,2010,Petrol,84034,240000
Alto LXI ,2009,Petrol,58774,210000
Wagon R DUO LXI ,2009,LPG,111721,195000
Zen Estilo LXI ,2008,Petrol,89750,190000
Alto STD ,2007,Petrol,105660,130000
Swift ZXI ,2006,Petrol,113560,275000
Ritz LXI ,2013,Petrol,66256,375000
Alto LXI ,2008,Petrol,54103,195000
Alto LXI ,2007,Petrol,29729,210000
Alto LXI ,2007,Petrol,82582,195000
Omni 8 SEATER ,2007,Petrol,84026,195000
Swift LXI ,2006,Petrol,131258,165000
Baleno 1.2 ZETA ,2020,Petrol,8676,820000
New Wagon R WAGONR ZXI ,2019,Petrol,32872,590000
Wagon R VXI ,2017,Petrol,26816,500000
Swift Dzire VXI ,2017,Petrol,43316,680000
Wagon R VXI ,2017,Petrol,28189,490000
Vitara Brezza ZDI PLUS ,2017,Diesel,57501,930000
Wagon R VXI ,2016,Petrol,76987,440000
Ciaz ZDI PLUS ,2016,Diesel,48374,850000
Omni 5 SEATER ,2016,Petrol,54581,300000
Swift VDI (O) ,2016,Diesel,47961,720000
Vitara Brezza ZDI PLUS ,2016,Diesel,74143,860000
Swift Dzire ZDI ,2015,Diesel,65559,690000
Celerio ZXI ,2015,Petrol,64767,470000
Swift Dzire VDI ,2015,Diesel,85367,560000
Swift Dzire VXI ,2014,Petrol,71349,460000
Ritz VXI ,2013,Petrol,56562,420000
Ertiga ZDI SHVS ,2012,Diesel,65923,700000
Alto LXI ,2010,Petrol,52535,220000
A Star LXI ,2010,Petrol,46080,280000
A Star VXI ,2009,Petrol,91427,240000
Alto LXI ,2008,Petrol,86426,195000
Wagon R DUO LXI ,2008,LPG,80394,160000
Alto LXI ,2008,Petrol,73872,205000
Alto LX ,2007,Petrol,34498,160000
Omni 5 SEATER ,2005,LPG,110039,160000
Eeco AC ( 5 SEATER ) ,2018,Petrol,13744,480000
Swift VXI ,2017,Petrol,44488,650000
Swift Dzire VXI ,2017,Petrol,9347,700000
Omni MPI CARGO ,2016,Petrol,70213,150000
Swift VDI ,2015,Diesel,71092,590000
Swift VXI ,2015,Petrol,41634,575000
Ritz VDI ,2013,Diesel,39035,430000
Sx4 VXI ,2013,Petrol,58016,475000
Swift Dzire VXI ,2013,Petrol,69645,490000
Swift VDI ,2012,Diesel,123974,400000
Eeco STANDARD ( 5 SEATER ,2012,Petrol,48752,290000
Swift Dzire VDI ,2012,Diesel,137802,450000
Alto K10 VXI ,2011,Petrol,32258,265000
Alto K10 VXI ,2011,Petrol,54818,275000
Swift Dzire VDI ,2011,Diesel,147407,345000
Alto K10 VXI ,2011,Petrol,49263,250000
Zen Estilo VXI ,2009,Petrol,89325,225000
Wagon R DUO LXI ,2009,LPG,115153,230000
Swift VDI ,2008,Diesel,200073,300000
Alto LXI ,2008,Petrol,40860,200000
Alto LXI ,2007,Petrol,105960,180000
Swift ZXI ,2017,Petrol,66814,625000
Vitara Brezza ZDI ,2017,Diesel,94111,580000
Swift Dzire VXI (O) ,2016,Petrol,49241,565000
Zen Estilo LXI ,2010,Petrol,44237,235000
A Star VXI ,2009,Petrol,64988,215000
Alto LXI ,2006,Petrol,75656,120000
Alto LXI ,2006,Petrol,187144,145000
Alto LXI ,2006,Petrol,141319,125000
Swift ZXI ,2016,Petrol,36228,530000
Swift VXI (O) ,2016,Petrol,83623,560000
Alto K10 VXI (O) ,2016,Petrol,13052,380000
Zen Estilo VXI ,2007,Petrol,80034,155000
Zen Estilo VXI ,2007,Petrol,99733,155000
Swift Dzire VXI (O) ,2016,Petrol,63309,650000
Swift VDI ,2011,Diesel,128851,395000
